Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
Portland Trail Blazers,39,22,17,0.564102564,4243,4271,-28,6,0.666666667,5,0.2,0,0,0,0,4,0,2,3,3,2.75,1,7,0.365,0.499,0.732
Atlanta Hawks,37,21,16,0.567567568,3802,3812,-10,6,0.666666667,4,0,0,0,0,0,4,2,2,3,3.5,2.75,0,8,0.332,0.491,0.813
Charlotte Bobcats,33,15,17,0.454545455,3383,3443,-60,7,0.428571429,0,0,0,0,0,0,0,1,0,1,0.25,0.75,0,9,0.348,0.528,0.696
Indiana Pacers,36,20,16,0.555555556,3598,3588,10,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.415,0.457,0.696
Los Angeles Lakers,33,8,25,0.242424242,3264,3258,6,6,0.333333333,0,0,0,0,0,0,0,1,1,1,0.25,1,0,11,0.386,0.478,0.869
Boston Celtics,33,18,15,0.545454545,3416,3456,-40,6,0.333333333,0,0,0,0,0,0,1,0,0,0,0.75,0,0,12,0.298,0.497,0.849
Houston Rockets,32,15,17,0.46875,3418,3512,-94,5,0.2,0,0,0,0,0,0,1,0,1,1,0.75,1,0,13,0.305,0.51,0.764
Dallas Mavericks,32,14,18,0.4375,3313,3404,-91,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.311,0.5,0.689
Memphis Grizzlies,33,11,22,0.333333333,3248,3336,-88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.324,0.441,0.804
Detroit Pistons,32,17,15,0.53125,3245,3279,-34,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.391,0.502,0.767
Golden State Warriors,43,36,7,0.837209302,4910,4680,230,4,1,4,1,4,1,5,0.8,5,1,1,5,4,4,3,1,0.357,0.55,0.822
Cleveland Cavaliers,45,25,20,0.555555556,5016,4873,143,4,1,4,1,5,0.8,5,0.2,4,2,1,5,3.5,4,2,2,0.331,0.52,0.752
Boston Celtics,43,25,18,0.581395349,4573,4625,-52,6,0.666666667,7,0.571428571,5,0.2,0,0,6,0,0,5,4.5,3.75,2,3,0.343,0.493,0.767
San Antonio Spurs,42,26,16,0.619047619,4374,4358,16,6,0.666666667,6,0.666666667,4,0,0,0,4,1,1,5,3.25,4,1,4,0.337,0.522,0.772
Washington Wizards,40,22,18,0.55,4414,4414,0,6,0.666666667,7,0.428571429,0,0,0,0,3,0,1,5,2.25,4,1,5,0.359,0.509,0.687
Houston Rockets,35,21,14,0.6,4005,3992,13,5,0.8,6,0.333333333,0,0,0,0,4,1,0,3,3.25,2.25,1,6,0.338,0.486,0.76
Utah Jazz,36,20,16,0.555555556,3621,3673,-52,7,0.571428571,4,0,0,0,0,0,3,0,1,3,2.25,2.5,1,7,0.366,0.526,0.782
Toronto Raptors,35,22,13,0.628571429,3546,3603,-57,6,0.666666667,4,0,0,0,0,0,3,0,1,0,2.25,0.25,0,8,0.39,0.513,0.799
Los Angeles Lakers,31,10,21,0.322580645,3200,3208,-8,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,9,0.372,0.563,0.705
Milwaukee Bucks,33,19,14,0.575757576,3244,3248,-4,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.358,0.544,0.711
Memphis Grizzlies,30,11,19,0.366666667,2969,3019,-50,6,0.333333333,0,0,0,0,0,0,2,0,0,1,1.5,0.75,0,11,0.364,0.462,0.772
Chicago Bulls,31,15,16,0.483870968,3192,3233,-41,6,0.333333333,0,0,0,0,0,0,1,0,0,1,0.75,0.75,0,12,0.366,0.5,0.85
Atlanta Hawks,32,13,19,0.40625,3280,3287,-7,6,0.333333333,0,0,0,0,0,0,2,0,2,1,1.5,1.25,0,13,0.413,0.477,0.728
Oklahoma City Thunder,30,16,14,0.533333333,3224,3267,-43,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,14,0.391,0.467,0.678
Portland Trail Blazers,30,18,12,0.6,3249,3321,-72,4,0,0,0,0,0,0,0,0,2,1,0,0.5,0.25,0,15,0.298,0.471,0.835
Indiana Pacers,29,13,16,0.448275862,3040,3056,-16,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.333,0.519,0.778
