Rk,GP,W,L,W-L%,G,GA,DIFF,CQF GP,CQF OT GP,CQF W-L%,CQF RS W-L%,CSF GP,CSF OT GP,CSF W-L%,CSF RS W-L%,CF GP,CF OT GP,CF W-L%,CF RS W-L%,F GP,F OT GP,F W-L%,F RS W-L%,ELITE F,ELITE D,ELITE GK,Champs,Year,AvAge,Exp
7,27,18,9,0.67,86,57,29,7,3,0.57,0.5,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0.75,2,2003,29.1,2
5,25,15,10,0.6,78,62,16,5,0,0.8,0.6,7,1,0.43,0.5,0,0,0,0,0,0,0,0,0.75,3.75,1,4,2002,27.9,3
16,23,13,8,0.57,66,74,-8,4,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,2009,27.6,0
12,23,10,9,0.43,66,61,5,5,1,0.2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2007,29.7,2
14,19,10,9,0.53,45,48,-3,6,4,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2001,28.1,4
7,26,15,11,0.577,71,57,14,7,1,0.571,0.83,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,2.25,1,2,2004,30.7,4
8,24,16,8,0.67,55,56,-1,6,2,0.67,0.4,5,2,0.2,0.25,0,0,0,0,0,0,0,0,0,1.5,0.75,1,2003,26.8,0
5,35,19,14,0.543,91,83,8,6,1,0.667,0.667,7,2,0.429,0.5,0,0,0,0,0,0,0,0,0.25,1.5,0.75,4,2010,28.1,3
13,24,14,7,0.58,63,39,24,5,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2007,26,0
15,19,10,9,0.526,53,41,12,5,0,0.2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,2004,28.8,6
6,33,17,13,0.515,91,99,-8,7,0,0.571,0.667,7,2,0.429,0.667,0,0,0,0,0,0,0,0,1.5,3.75,1,3,2016,27.9,1
8,31,14,13,0.452,83,80,3,6,2,0.667,0,6,2,0.333,0.333,0,0,0,0,0,0,0,0,0,3,0.75,1,2017,28.3,4
10,26,18,10,0.692,77,74,3,6,5,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,2017,28.8,0
12,25,15,8,0.6,60,62,-2,7,0,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,26.7,7
1,43,27,13,0.628,149,124,25,6,1,0.667,0.667,6,0,0.667,0.5,4,1,1,0.75,6,2,0.667,0,3.75,2.75,0.75,8,2010,26.6,3
7,30,15,12,0.5,73,79,-6,6,1,0.67,0.75,5,1,0.2,0.75,0,0,0,0,0,0,0,0,0,2.25,0,2,2007,29.4,3
7,34,17,14,0.5,86,89,-3,6,2,0.667,1,7,1,0.429,0.5,0,0,0,0,0,0,0,0,2.25,1.5,0.75,2,2014,27.7,4
5,24,12,12,0.5,67,66,1,5,2,0.8,0.75,6,2,0.33,0.5,0,0,0,0,0,0,0,0,0,3,0.75,4,2004,27.9,4
3,40,24,15,0.6,140,119,21,6,1,0.67,0.75,5,1,0.8,0.63,7,2,0.43,0.25,0,0,0,0,4.5,4.5,0.75,6,2006,26.9,0
1,40,28,9,0.7,116,72,44,5,1,0.8,0.5,4,0,1,0.75,5,1,0.8,0.5,6,2,0.667,0,4.5,5,0.75,8,2012,26.7,2
11,27,16,11,0.593,67,68,-1,6,1,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2010,26.2,1
2,39,27,12,0.69,129,84,45,6,1,0.67,0.75,7,2,0.57,0.67,5,0,0.8,0.6,7,0,0.429,100,4.5,5,0.75,7,2001,28.5,6
16,22,10,9,0.455,55,56,-1,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,29,1
16,22,11,10,0.5,59,53,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,27.3,0
16,24,12,8,0.5,69,68,1,4,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2014,27.1,0
10,20,12,8,0.6,65,43,22,7,2,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2003,28.7,8
2,44,24,16,0.55,122,111,11,6,1,0.68,0.5,6,1,0.67,0.75,5,0,0.8,0.75,7,1,0.43,0,3.75,4.5,0.75,7,2006,28.7,1
4,34,19,15,0.56,95,86,9,7,0,0.57,0.25,7,1,0.57,0.4,6,3,0.33,0.5,0,0,0,0,2.5,2,0.75,5,2002,29.6,4
9,27,20,6,0.741,92,73,19,7,2,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,28.2,3
3,42,22,19,0.524,101,104,-3,7,2,0.571,0.25,7,2,0.571,0.5,6,1,0.333,0.5,0,0,0,0,1.5,3.75,0.75,6,2012,26.5,1
1,41,28,10,0.68,143,104,39,6,1,0.67,0.67,7,2,0.57,0.25,4,0,1,0.5,7,0,0.57,0.5,3.75,4.5,0.75,8,2009,26.6,5
5,33,22,9,0.67,110,82,28,5,0,0.8,0.5,6,1,0.33,0.25,0,0,0,0,0,0,0,0,1.5,2.25,0.75,4,2006,26.5,3
4,36,21,13,0.58,118,98,20,5,0,0.8,0.75,6,2,0.67,1,5,2,0.2,0.38,0,0,0,0,5.75,4,0,5,2007,27.2,3
3,31,21,10,0.68,86,67,19,5,1,0.8,0.75,6,1,0.67,0.75,7,2,0.43,0.75,0,0,0,0,3.8,3,1,6,2003,26.3,3
5,24,14,9,0.583,59,51,8,4,2,1,1,7,1,0.429,0.5,0,0,0,0,0,0,0,0,0,3.5,1,4,2013,28.9,4
11,19,11,8,0.58,49,54,-5,7,3,0.43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,30.4,5
1,40,28,10,0.7,129,83,46,6,1,0.67,0.63,4,0,1,1,6,0,0.67,0.75,6,1,0.67,0,3.75,4.5,0.75,8,2008,32.1,4
10,26,16,8,0.615,69,68,1,7,0,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,27.2,0
8,25,15,10,0.6,73,53,20,5,0,0.2,0.2,5,0,0.2,0.4,0,0,0,0,0,0,0,0,0.5,1.75,1,1,2002,29.3,4
14,25,16,9,0.64,83,71,12,6,1,0.333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,26.3,2
16,24,8,13,0.33,60,80,-20,4,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2006,28.2,0
16,17,10,7,0.59,55,40,15,4,2,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,31.4,6
3,33,17,16,0.52,83,82,1,7,1,0.57,0.5,7,1,0.57,0.5,7,3,0.43,0.25,0,0,0,0,2.25,3,0.75,6,2002,27.9,8
15,24,10,12,0.42,44,67,-23,5,1,0.2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,29.2,4
12,17,8,5,0.471,47,46,1,6,2,0.333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,28.7,0
13,20,13,7,0.65,38,33,5,6,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2013,26.3,2
16,26,12,10,0.462,69,59,10,5,1,0.2,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2010,30.5,2
2,44,26,16,0.591,116,101,15,7,1,0.571,0.75,6,1,0.667,1,7,1,0.571,1,6,0,0.333,0.5,4.5,4.5,0.75,7,2015,26.9,1
11,26,12,12,0.46,66,68,-2,7,0,0.43,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,2008,29.5,0
9,21,12,9,0.57,60,61,-1,7,0,0.43,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,29.6,5
6,33,20,12,0.606,91,84,7,6,5,0.667,0.667,7,1,0.429,0.5,0,0,0,0,0,0,0,0,0,3,1,3,2017,28.4,4
9,26,15,9,0.577,80,70,10,7,1,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2014,28.7,3
7,33,18,12,0.545,120,109,11,6,2,0.667,0.75,6,0,0.333,0.5,0,0,0,0,0,0,0,0,0,0.75,0,2,2010,28.1,2
16,22,11,11,0.5,63,57,6,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,28.4,2
16,21,11,9,0.52,55,55,0,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007,29.4,0
7,28,16,9,0.571,81,66,15,5,2,0.8,0.25,4,1,0,0.667,0,0,0,0,0,0,0,0,0,1.75,0.75,2,2011,25.9,3
9,25,12,12,0.48,55,73,-18,7,2,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2009,30.3,3
13,25,12,12,0.48,66,68,-2,6,1,0.333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2016,28.7,4
14,19,10,9,0.526,42,41,1,5,1,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2004,30,3
7,31,17,11,0.548,92,87,5,6,0,0.667,0.5,5,2,0.2,0.4,0,0,0,0,0,0,0,0,0,0.75,0,2,2015,28.2,0
11,20,13,7,0.65,48,50,-2,7,2,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,27,2
2,44,30,14,0.682,110,104,6,7,2,0.571,0.5,6,2,0.667,0.5,5,1,0.8,0.75,7,1,0.429,0,0,3.75,0.75,7,2011,28.1,4
13,24,11,12,0.46,55,65,-10,6,1,0.33,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,2008,29.7,2
10,24,10,12,0.42,60,83,-23,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,28.2,6
7,32,18,12,0.563,100,87,13,6,1,0.667,0.667,5,2,0.2,0.5,0,0,0,0,0,0,0,0,0,1,0.75,2,2012,27.3,6
12,26,14,11,0.538,81,72,9,6,3,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2016,28,0
12,26,12,9,0.46,65,62,3,6,2,0.33,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.75,0,2008,28.1,1
11,25,13,11,0.52,71,60,11,6,4,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2017,29.6,0
15,18,6,11,0.333,31,53,-22,5,2,0.2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2013,27.8,0
13,25,10,15,0.4,56,80,-24,6,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,28.9,2
6,26,16,10,0.615,65,54,11,6,0,0.67,0.5,6,2,0.33,0.75,0,0,0,0,0,0,0,0,0,1.75,0,3,2004,31.9,6
5,32,18,13,0.563,78,72,6,7,2,0.571,0.5,7,2,0.429,0.25,0,0,0,0,0,0,0,0,1.5,2.25,1,4,2015,28.1,1
11,26,12,13,0.46,77,78,-1,6,1,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.5,0,0,2009,27,3
12,24,14,9,0.583,59,51,8,6,2,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,26.2,2
14,25,11,11,0.44,68,80,-12,5,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,29.6,7
11,25,12,12,0.48,73,81,-8,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,28.2,5
13,25,13,9,0.52,67,65,2,5,1,0.2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,29.7,3
14,25,10,11,0.4,74,83,-9,5,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2007,27.4,1
14,27,13,13,0.481,56,70,-14,6,4,0.333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2014,27.4,3
9,28,17,8,0.607,87,74,13,7,2,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,2011,27.4,1
12,27,19,5,0.7,99,71,28,6,1,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,2006,32.1,3
3,34,22,12,0.647,104,91,13,4,1,1,1,5,2,0.8,0.6,7,3,0.429,0.333,0,0,0,0,4.25,3.75,0.75,6,2015,27,3
11,19,6,13,0.32,40,49,-9,6,1,0.33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,30.1,1
4,37,23,14,0.622,117,98,19,7,2,0.571,0.6,7,2,0.571,0.8,6,0,0.333,0.333,0,0,0,0,0.75,2.25,0.75,5,2016,28.9,2
13,26,17,8,0.654,108,88,20,6,1,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2012,28.5,3
12,24,14,13,0.583,79,79,0,6,5,0.333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,27,6
9,22,14,8,0.64,64,56,8,7,0,0.43,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2002,27.5,0
14,27,10,14,0.37,75,94,-19,6,3,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2010,27.9,2
2,41,23,15,0.561,112,94,18,4,1,1,0.2,6,0,0.667,0.6,6,2,0.667,0.333,6,0,0.333,0.5,3.75,3,0.75,7,2017,27.9,4
6,30,17,12,0.567,81,70,11,5,0,0.8,0.5,5,1,0.2,0.5,0,0,0,0,0,0,0,0,0,3.5,1,3,2012,26.8,3
4,35,19,14,0.543,100,124,-24,6,3,0.667,0.5,5,1,0.8,0.25,4,1,0,0.25,0,0,0,0,2.25,0,1,5,2010,29.3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
