Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
Utah Jazz,39,23,16,0.58974359,4204,4226,-22,6,0.666666667,4,0,0,0,0,0,4,1,2,2,3.25,2,0,8,0.289,0.489,0.776
Milwaukee Bucks,37,25,12,0.675675676,3540,3566,-26,7,0.428571429,0,0,0,0,0,0,1,0,1,0,0.75,0.25,0,9,0.321,0.49,0.742
Oklahoma City Thunder,36,21,15,0.583333333,3762,3772,-10,6,0.333333333,0,0,0,0,0,0,1,0,2,0,0.75,0.5,0,11,0.3,0.499,0.783
Dallas Mavericks,34,24,10,0.705882353,3462,3465,-3,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,12,0.294,0.48,0.76
Portland Trail Blazers,32,20,12,0.625,3131,3193,-62,6,0.333333333,0,0,0,0,0,0,0,1,0,0,0.25,0,0,13,0.37,0.44,0.706
Charlotte Bobcats,34,18,16,0.529411765,3212,3249,-37,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.347,0.401,0.747
Oklahoma City Thunder,43,28,15,0.651162791,4470,4438,32,5,0.8,7,0.571428571,5,0.2,0,0,4,0,2,6,3,5,2,3,0.327,0.47,0.74
Memphis Grizzlies,36,21,15,0.583333333,3591,3600,-9,6,0.666666667,7,0.428571429,0,0,0,0,4,1,1,2,3.25,1.75,1,5,0.343,0.438,0.782
Portland Trail Blazers,31,18,13,0.580645161,2937,2968,-31,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,11,0.347,0.479,0.711
San Antonio Spurs,48,30,18,0.625,4821,4674,147,4,1,6,0.666666667,4,1,7,0.428571429,6,2,0,6,5,4.5,2,2,0.396,0.536,0.78
Memphis Grizzlies,44,29,15,0.659090909,4108,4099,9,6,0.666666667,5,0.8,4,0,0,0,4,1,1,4,3.25,3.25,1,4,0.38,0.476,0.727
New York Knicks,43,28,15,0.651162791,4151,4119,32,6,0.666666667,6,0.333333333,0,0,0,0,1,0,1,6,0.75,4.75,1,5,0.335,0.458,0.696
Oklahoma City Thunder,39,26,13,0.666666667,4013,3998,15,6,0.666666667,5,0.2,0,0,0,0,3,1,2,3,2.5,2.75,1,7,0.342,0.515,0.737
Brooklyn Nets,34,19,15,0.558823529,3385,3371,14,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,9,0.343,0.414,0.828
Houston Rockets,32,17,15,0.53125,3329,3364,-35,6,0.333333333,0,0,0,0,0,0,0,0,1,2,0,1.75,0,11,0.376,0.478,0.765
Los Angeles Lakers,31,19,12,0.612903226,3121,3196,-75,4,0,0,0,0,0,0,0,1,1,1,0,1,0.25,0,15,0.333,0.451,0.754
Milwaukee Bucks,33,12,21,0.363636364,3274,3333,-59,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.365,0.481,0.713
Miami Heat,50,29,21,0.58,4897,4862,35,4,1,5,0.8,6,0.666666667,5,0.2,4,2,0,5,3.5,3.75,2,2,0.34,0.462,0.738
Indiana Pacers,47,25,22,0.531914894,4350,4369,-19,7,0.571428571,6,0.666666667,6,0.333333333,0,0,4,1,0,5,3.25,3.75,1,4,0.317,0.488,0.781
Washington Wizards,39,24,15,0.615384615,3876,3866,10,5,0.8,6,0.333333333,0,0,0,0,4,0,1,5,3,4,1,5,0.329,0.525,0.667
Portland Trail Blazers,39,23,16,0.58974359,4073,4142,-69,6,0.666666667,5,0.2,0,0,0,0,3,0,2,3,2.25,2.75,0,8,0.312,0.447,0.832
Atlanta Hawks,36,16,20,0.444444444,3562,3569,-7,7,0.428571429,0,0,0,0,0,0,0,0,1,1,0,1,0,9,0.366,0.486,0.68
Golden State Warriors,35,22,13,0.628571429,3704,3735,-31,7,0.428571429,0,0,0,0,0,0,1,2,1,1,1.25,1,0,10,0.303,0.41,0.704
Dallas Mavericks,34,20,14,0.588235294,3590,3604,-14,7,0.428571429,0,0,0,0,0,0,1,0,0,0,0.75,0,0,11,0.354,0.468,0.744
Memphis Grizzlies,36,23,13,0.638888889,3539,3577,-38,7,0.428571429,0,0,0,0,0,0,0,0,0,1,0,0.75,0,12,0.351,0.422,0.824
Toronto Raptors,35,22,13,0.628571429,3601,3612,-11,7,0.428571429,0,0,0,0,0,0,0,0,1,1,0,1,0,13,0.311,0.503,0.762
Houston Rockets,34,19,15,0.558823529,3776,3774,2,6,0.333333333,0,0,0,0,0,0,1,2,2,1,1.25,1.25,0,14,0.256,0.478,0.775
Chicago Bulls,34,21,13,0.617647059,3238,3261,-23,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,15,0.318,0.496,0.809
Golden State Warriors,52,41,11,0.788461538,5546,5382,164,4,1,6,0.666666667,5,0.8,6,0.666666667,5,1,2,7,4,5.75,3,1,0.406,0.506,0.725
Cleveland Cavaliers,47,34,13,0.723404255,4818,4738,80,4,1,6,0.666666667,4,1,6,0.333333333,2,2,1,3,2,2.5,2,2,0.393,0.492,0.735
Atlanta Hawks,44,25,19,0.568181818,4392,4395,-3,6,0.666666667,6,0.666666667,4,0,0,0,5,2,1,6,4.25,4.75,1,4,0.298,0.469,0.737
Los Angeles Clippers,42,28,14,0.666666667,4496,4477,19,7,0.571428571,7,0.428571429,0,0,0,0,4,2,1,3,3.5,2.5,1,5,0.358,0.489,0.765
Washington Wizards,38,19,19,0.5,3709,3670,39,4,1,6,0.333333333,0,0,0,0,2,0,1,5,1.5,4,1,6,0.429,0.481,0.8
Chicago Bulls,40,22,18,0.55,3900,3859,41,6,0.666666667,6,0.333333333,0,0,0,0,4,1,2,5,3.25,4.25,1,7,0.381,0.436,0.74
San Antonio Spurs,36,24,12,0.666666667,3850,3847,3,7,0.428571429,0,0,0,0,0,0,2,0,1,1,1.5,1,0,9,0.308,0.423,0.839
Milwaukee Bucks,35,13,22,0.371428571,3297,3371,-74,6,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.383,0.464,0.82
Brooklyn Nets,36,19,17,0.527777778,3651,3684,-33,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,11,0.291,0.481,0.625
Portland Trail Blazers,34,16,18,0.470588235,3459,3493,-34,5,0.2,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,12,0.275,0.443,0.786
Dallas Mavericks,32,15,17,0.46875,3329,3350,-21,5,0.2,0,0,0,0,0,0,1,0,1,1,0.75,1,0,13,0.268,0.444,0.642
Boston Celtics,35,20,15,0.571428571,3550,3587,-37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.29,0.488,0.694
Toronto Raptors,33,13,20,0.393939394,3315,3371,-56,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.376,0.524,0.648
Golden State Warriors,54,40,14,0.740740741,6002,5897,105,5,0.8,5,0.8,7,0.571428571,7,0.428571429,6,2,1,8,5,6.25,2,2,0.42,0.544,0.767
Oklahoma City Thunder,46,26,20,0.565217391,5008,4913,95,5,0.8,6,0.666666667,7,0.428571429,0,0,5,2,2,6,4.25,5,2,3,0.369,0.517,0.773
San Antonio Spurs,39,28,11,0.717948718,3944,3853,91,4,1,6,0.333333333,0,0,0,0,2,1,2,2,1.75,2,1,6,0.333,0.525,0.789
Indiana Pacers,36,20,16,0.555555556,3598,3588,10,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.415,0.457,0.696
Los Angeles Lakers,33,8,25,0.242424242,3264,3258,6,6,0.333333333,0,0,0,0,0,0,0,1,1,1,0.25,1,0,11,0.386,0.478,0.869
Memphis Grizzlies,33,11,22,0.333333333,3248,3336,-88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.324,0.441,0.804
Detroit Pistons,32,17,15,0.53125,3245,3279,-34,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.391,0.502,0.767
Golden State Warriors,43,36,7,0.837209302,4910,4680,230,4,1,4,1,4,1,5,0.8,5,1,1,5,4,4,3,1,0.357,0.55,0.822
San Antonio Spurs,42,26,16,0.619047619,4374,4358,16,6,0.666666667,6,0.666666667,4,0,0,0,4,1,1,5,3.25,4,1,4,0.337,0.522,0.772
Houston Rockets,35,21,14,0.6,4005,3992,13,5,0.8,6,0.333333333,0,0,0,0,4,1,0,3,3.25,2.25,1,6,0.338,0.486,0.76
Utah Jazz,36,20,16,0.555555556,3621,3673,-52,7,0.571428571,4,0,0,0,0,0,3,0,1,3,2.25,2.5,1,7,0.366,0.526,0.782
Milwaukee Bucks,33,19,14,0.575757576,3244,3248,-4,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.358,0.544,0.711
Memphis Grizzlies,30,11,19,0.366666667,2969,3019,-50,6,0.333333333,0,0,0,0,0,0,2,0,0,1,1.5,0.75,0,11,0.364,0.462,0.772
Chicago Bulls,31,15,16,0.483870968,3192,3233,-41,6,0.333333333,0,0,0,0,0,0,1,0,0,1,0.75,0.75,0,12,0.366,0.5,0.85
Atlanta Hawks,32,13,19,0.40625,3280,3287,-7,6,0.333333333,0,0,0,0,0,0,2,0,2,1,1.5,1.25,0,13,0.413,0.477,0.728
Oklahoma City Thunder,30,16,14,0.533333333,3224,3267,-43,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,14,0.391,0.467,0.678
Indiana Pacers,29,13,16,0.448275862,3040,3056,-16,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.333,0.519,0.778
