Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
Houston Rockets,41,27,14,0.658536585,3932,3951,-19,6,0.666666667,7,0.428571429,0,0,0,0,5,1,1,3,4,2.5,1,6,0.328,0.49,0.768
Indiana Pacers,46,27,19,0.586956522,4374,4371,3,6,0.666666667,6,0.666666667,7,0.428571429,0,0,5,2,0,4,4.25,3,2,3,0.323,0.5,0.82
Washington Wizards,40,22,18,0.55,4414,4414,0,6,0.666666667,7,0.428571429,0,0,0,0,3,0,1,5,2.25,4,1,5,0.359,0.509,0.687
San Antonio Spurs,31,16,15,0.516129032,3165,3184,-19,6,0.333333333,0,0,0,0,0,0,2,1,2,1,1.75,1.25,0,12,0.311,0.484,0.73
Boston Celtics,33,15,18,0.454545455,3140,3172,-32,6,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.313,0.492,0.833
Atlanta Hawks,36,17,19,0.472222222,3533,3564,-31,6,0.333333333,0,0,0,0,0,0,0,2,2,1,0.5,1.25,0,14,0.318,0.495,0.743
Philadelphia 76ers,30,14,16,0.466666667,2938,2975,-37,5,0.2,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,15,0.27,0.496,0.608
Detroit Pistons,48,31,17,0.645833333,4491,4434,57,5,0.8,7,0.571428571,6,0.333333333,0,0,4,0,1,5,3,4,2,3,0.372,0.452,0.724
Phoenix Suns,39,26,13,0.666666667,4192,4137,55,5,0.8,6,0.333333333,0,0,0,0,4,4,2,2,4,2,1,5,0.379,0.506,0.78
Toronto Raptors,35,22,13,0.628571429,3546,3603,-57,6,0.666666667,4,0,0,0,0,0,3,0,1,0,2.25,0.25,0,8,0.39,0.513,0.799
Toronto Raptors,35,22,13,0.628571429,3546,3603,-57,6,0.666666667,4,0,0,0,0,0,3,0,1,0,2.25,0.25,0,8,0.39,0.513,0.799
Portland Trail Blazers,30,18,12,0.6,3249,3321,-72,4,0,0,0,0,0,0,0,0,2,1,0,0.5,0.25,0,15,0.298,0.471,0.835
Los Angeles Lakers,51,37,14,0.725490196,5248,5082,166,5,0.8,7,0.571428571,6,0.666666667,5,0.8,5,1,2,6,4,5,3,1,0.377,0.491,0.747
Utah Jazz,40,25,15,0.625,4193,4196,-3,6,0.666666667,6,0.333333333,0,0,0,0,4,2,0,2,3.5,1.5,1,7,0.35,0.469,0.75
Indiana Pacers,31,12,19,0.387096774,3045,3082,-37,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,14,0.33,0.452,0.682
Orlando Magic,30,18,12,0.6,2876,2865,11,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.304,0.522,0.782
Boston Celtics,38,17,21,0.447368421,3441,3447,-6,6,0.666666667,4,0,0,0,0,0,3,2,0,2,2.75,1.5,0,8,0.354,0.453,0.8
Memphis Grizzlies,33,19,14,0.575757576,3126,3182,-56,4,0,0,0,0,0,0,0,0,1,2,0,0.25,0.5,0,16,0.313,0.482,0.726
Milwaukee Bucks,33,14,19,0.424242424,3360,3408,-48,5,0.2,0,0,0,0,0,0,0,0,2,0,0,0.5,0,14,0.419,0.481,0.785
San Antonio Spurs,38,27,11,0.710526316,3533,3502,31,4,1,6,0.333333333,0,0,0,0,3,1,2,3,2.5,2.75,1,7,0.365,0.464,0.644
Sacramento Kings,34,21,13,0.617647059,3356,3413,-57,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.33,0.472,0.792
New Jersey Nets,48,27,21,0.5625,4484,4417,67,6,0.666666667,4,1,4,1,6,0.333333333,6,3,1,6,5.25,4.75,2,2,0.35,0.439,0.762
Dallas Mavericks,46,32,14,0.695652174,4627,4506,121,6,0.666666667,4,1,5,0.8,6,0.666666667,4,1,1,5,3.25,4,3,1,0.381,0.499,0.766
Indiana Pacers,38,16,22,0.421052632,3571,3593,-22,6,0.333333333,0,0,0,0,0,0,1,0,0,0,0.75,0,0,13,0.342,0.482,0.748
Cleveland Cavaliers,45,25,20,0.555555556,5016,4873,143,4,1,4,1,5,0.8,5,0.2,4,2,1,5,3.5,4,2,2,0.331,0.52,0.752
Portland Trail Blazers,36,18,18,0.5,3451,3444,7,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,9,0.37,0.486,0.752
Los Angeles Lakers,31,10,21,0.322580645,3200,3208,-8,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,9,0.372,0.563,0.705
Indiana Pacers,31,12,19,0.387096774,3045,3082,-37,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,14,0.33,0.452,0.682
Orlando Magic,41,32,9,0.780487805,4199,4078,121,4,1,4,1,6,0.333333333,0,0,4,1,1,3,3.25,2.5,1,4,0.329,0.451,0.784
Charlotte Bobcats,31,18,13,0.580645161,3066,3105,-39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.3,0.462,0.718
Denver Nuggets,35,20,15,0.571428571,3701,3708,-7,6,0.333333333,0,0,0,0,0,0,2,0,1,2,1.5,1.75,0,10,0.262,0.475,0.737
Charlotte Bobcats,33,15,17,0.454545455,3383,3443,-60,7,0.428571429,0,0,0,0,0,0,0,1,0,1,0.25,0.75,0,9,0.348,0.528,0.696
New York Knicks,31,13,18,0.419354839,2857,2908,-51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.293,0.405,0.723
Golden State Warriors,38,21,17,0.552631579,4075,4056,19,6,0.666666667,5,0.2,0,0,0,0,3,1,1,4,2.5,3.25,0,8,0.358,0.507,0.735
Chicago Bulls,43,33,10,0.76744186,4141,4073,68,5,0.8,6,0.666666667,5,0.2,0,0,4,0,0,5,3,3.75,1,4,0.324,0.439,0.748
Portland Trail Blazers,39,22,17,0.564102564,4243,4271,-28,6,0.666666667,5,0.2,0,0,0,0,4,0,2,3,3,2.75,1,7,0.365,0.499,0.732
Golden State Warriors,40,22,18,0.55,4068,4066,2,6,0.666666667,6,0.333333333,0,0,0,0,5,1,0,4,4,3,1,6,0.355,0.507,0.73
Dallas Mavericks,52,32,20,0.615384615,5123,5029,94,4,1,7,0.571428571,6,0.666666667,6,0.333333333,4,2,1,7,3.5,5.5,2,2,0.317,0.482,0.809
Sacramento Kings,34,21,13,0.617647059,3356,3413,-57,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.33,0.472,0.792
Detroit Pistons,46,21,25,0.456521739,4213,4198,15,7,0.571428571,6,0.666666667,4,0,0,0,2,0,1,4,1.5,3.25,1,4,0.352,0.43,0.741
Miami Heat,43,26,17,0.604651163,4470,4426,44,7,0.571428571,7,0.428571429,0,0,0,0,3,0,1,3,2.25,2.5,1,5,0.317,0.518,0.794
New Orleans Hornets,35,14,21,0.4,3126,3147,-21,7,0.428571429,0,0,0,0,0,0,0,0,2,2,0,2,0,9,0.315,0.406,0.779
Philadelphia 76ers,34,18,16,0.529411765,3389,3429,-40,5,0.2,0,0,0,0,0,0,1,0,1,1,0.75,1,0,12,0.34,0.468,0.716
Denver Nuggets,35,20,15,0.571428571,3615,3645,-30,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,13,0.319,0.446,0.781
Houston Rockets,34,15,19,0.441176471,3141,3168,-27,5,0.2,0,0,0,0,0,0,1,1,1,0,1,0.25,0,11,0.303,0.459,0.719
Cleveland Cavaliers,41,25,16,0.609756098,3853,3894,-41,6,0.666666667,7,0.428571429,0,0,0,0,2,2,1,4,2,3.25,1,5,0.32,0.462,0.764
Boston Celtics,56,41,15,0.732142857,5462,5326,136,7,0.571428571,7,0.571428571,6,0.666666667,6,0.666666667,5,1,1,7,4,5.5,3,1,0.359,0.472,0.783
San Antonio Spurs,35,20,15,0.571428571,3316,3346,-30,5,0.2,0,0,0,0,0,0,1,2,1,0,1.25,0.25,0,14,0.33,0.495,0.709
Orlando Magic,41,32,9,0.780487805,4199,4078,121,4,1,4,1,6,0.333333333,0,0,4,1,1,3,3.25,2.5,1,4,0.329,0.451,0.784
Boston Celtics,34,21,13,0.617647059,3388,3392,-4,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,10,0.327,0.471,0.755
Boston Celtics,43,25,18,0.581395349,4573,4625,-52,6,0.666666667,7,0.571428571,5,0.2,0,0,6,0,0,5,4.5,3.75,2,3,0.343,0.493,0.767
Utah Jazz,33,16,17,0.484848485,3038,3091,-53,5,0.2,0,0,0,0,0,0,0,2,0,0,0.5,0,0,16,0.265,0.451,0.787
San Antonio Spurs,47,37,10,0.787234043,4583,4504,79,5,0.8,6,0.666666667,5,0.8,4,1,5,2,1,6,4.25,4.75,3,1,0.384,0.485,0.724
Miami Heat,43,26,17,0.604651163,4470,4426,44,7,0.571428571,7,0.428571429,0,0,0,0,3,0,1,3,2.25,2.5,1,5,0.317,0.518,0.794
Milwaukee Bucks,34,14,20,0.411764706,3351,3414,-63,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,10,0.333,0.435,0.741
Detroit Pistons,34,12,22,0.352941176,3165,3227,-62,4,0,0,0,0,0,0,0,1,0,1,0,0.75,0.25,0,16,0.245,0.44,0.828
Toronto Raptors,35,22,13,0.628571429,3546,3603,-57,6,0.666666667,4,0,0,0,0,0,3,0,1,0,2.25,0.25,0,8,0.39,0.513,0.799
Los Angeles Lakers,33,21,12,0.636363636,3214,3227,-13,6,0.666666667,4,0,0,0,0,0,5,2,1,3,4.25,2.5,0,8,0.319,0.47,0.72
Houston Rockets,34,15,19,0.441176471,3141,3168,-27,5,0.2,0,0,0,0,0,0,1,1,1,0,1,0.25,0,11,0.303,0.459,0.719
Los Angeles Clippers,32,19,13,0.59375,3232,3265,-33,6,0.333333333,0,0,0,0,0,0,1,2,2,0,1.25,0.5,0,10,0.364,0.505,0.728
Miami Heat,36,18,18,0.5,3567,3561,6,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,9,0.357,0.487,0.816
San Antonio Spurs,38,27,11,0.710526316,3533,3502,31,4,1,6,0.333333333,0,0,0,0,3,1,2,3,2.5,2.75,1,7,0.365,0.464,0.644
Orlando Magic,34,19,15,0.558823529,3355,3406,-51,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.316,0.455,0.781
Toronto Raptors,50,31,19,0.62,4995,5080,-85,7,0.571428571,7,0.571428571,6,0.333333333,0,0,3,0,1,6,2.25,4.75,1,4,0.35,0.506,0.773
Miami Heat,32,20,12,0.625,3041,3082,-41,5,0.2,0,0,0,0,0,0,1,0,0,0,0.75,0,0,15,0.39,0.42,0.724
Miami Heat,40,25,15,0.625,3706,3704,2,7,0.571428571,6,0.333333333,0,0,0,0,4,1,1,5,3.25,4,0,8,0.276,0.437,0.754
Chicago Bulls,34,15,19,0.441176471,3388,3434,-46,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,14,0.377,0.417,0.77
Boston Celtics,41,25,16,0.609756098,4133,4133,0,7,0.571428571,7,0.428571429,0,0,0,0,5,0,1,5,3.75,4,1,5,0.36,0.469,0.791
Denver Nuggets,33,25,8,0.757575758,3551,3576,-25,6,0.333333333,0,0,0,0,0,0,2,0,1,0,1.5,0.25,0,12,0.29,0.443,0.729
Los Angeles Clippers,39,26,13,0.666666667,4276,4250,26,7,0.571428571,6,0.333333333,0,0,0,0,3,1,2,2,2.5,2,1,6,0.403,0.456,0.722
Sacramento Kings,34,21,13,0.617647059,3356,3413,-57,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,10,0.33,0.472,0.792
San Antonio Spurs,47,30,17,0.638297872,4418,4433,-15,5,0.8,7,0.571428571,5,0.2,0,0,3,2,0,3,2.75,2.25,1,4,0.375,0.469,0.745
Brooklyn Nets,42,24,18,0.571428571,4161,4177,-16,7,0.571428571,5,0.2,0,0,0,0,2,0,0,1,1.5,0.75,1,7,0.373,0.438,0.775
New Orleans Hornets,29,14,15,0.482758621,2726,2769,-43,6,0.333333333,0,0,0,0,0,0,1,1,1,0,1,0.25,0,9,0.316,0.48,0.758
San Antonio Spurs,51,33,18,0.647058824,4871,4771,100,5,0.8,6,0.666666667,5,0.8,7,0.571428571,6,2,1,6,5,4.75,3,1,0.389,0.474,0.727
Oklahoma City Thunder,46,26,20,0.565217391,4878,4898,-20,7,0.571428571,6,0.666666667,6,0.333333333,0,0,4,2,2,5,3.5,4.25,2,3,0.344,0.499,0.654
Phoenix Suns,34,16,18,0.470588235,3220,3252,-32,6,0.333333333,0,0,0,0,0,0,0,0,2,2,0,2,0,11,0.298,0.407,0.714
Miami Heat,40,25,15,0.625,3706,3704,2,7,0.571428571,6,0.333333333,0,0,0,0,4,1,1,5,3.25,4,0,8,0.276,0.437,0.754
New York Knicks,31,13,18,0.419354839,3246,3280,-34,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.261,0.507,0.63
Orlando Magic,36,23,13,0.638888889,3709,3693,16,5,0.8,5,0.2,0,0,0,0,4,1,0,3,3.25,2.25,0,8,0.356,0.527,0.712
Milwaukee Bucks,34,14,20,0.411764706,3351,3414,-63,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,10,0.333,0.435,0.741
Atlanta Hawks,37,21,16,0.567567568,3802,3812,-10,6,0.666666667,4,0,0,0,0,0,4,2,2,3,3.5,2.75,0,8,0.332,0.491,0.813
Phoenix Suns,33,19,14,0.575757576,3585,3595,-10,5,0.2,0,0,0,0,0,0,0,2,1,1,0.5,1,0,13,0.338,0.488,0.638
Dallas Mavericks,35,25,10,0.714285714,3497,3537,-40,6,0.333333333,0,0,0,0,0,0,1,2,1,2,1.25,1.75,0,11,0.316,0.463,0.772
New Orleans Pelicans,33,18,15,0.545454545,3258,3290,-32,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,15,0.297,0.418,0.7
Memphis Grizzlies,32,15,17,0.46875,2996,3040,-44,4,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,15,0.392,0.496,0.706
San Antonio Spurs,50,38,12,0.76,5360,5146,214,7,0.571428571,5,0.8,6,0.666666667,5,0.8,6,0,1,5,4.5,4,3,1,0.374,0.498,0.699
Los Angeles Lakers,31,10,21,0.322580645,3200,3208,-8,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,9,0.372,0.563,0.705
Chicago Bulls,41,19,22,0.463414634,3807,3887,-80,7,0.571428571,5,0.2,0,0,0,0,4,1,1,3,3.25,2.5,0,8,0.347,0.469,0.797
Memphis Grizzlies,40,22,18,0.55,3774,3788,-14,5,0.8,6,0.333333333,0,0,0,0,4,2,0,2,3.5,1.5,0,8,0.333,0.491,0.795
Cleveland Cavaliers,48,30,18,0.625,4515,4472,43,4,1,6,0.666666667,6,0.666666667,4,0,5,1,1,6,4,4.75,2,2,0.326,0.447,0.737
Boston Celtics,55,32,23,0.581818182,5357,5291,66,5,0.8,6,0.666666667,6,0.666666667,7,0.428571429,5,0,1,8,3.75,6.25,2,2,0.331,0.482,0.777
Orlando Magic,31,13,18,0.419354839,2942,2978,-36,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,14,0.345,0.492,0.579
Detroit Pistons,46,21,25,0.456521739,4213,4198,15,7,0.571428571,6,0.666666667,4,0,0,0,2,0,1,4,1.5,3.25,1,4,0.352,0.43,0.741
Dallas Mavericks,46,32,14,0.695652174,4627,4506,121,6,0.666666667,4,1,5,0.8,6,0.666666667,4,1,1,5,3.25,4,3,1,0.381,0.499,0.766
Dallas Mavericks,32,14,18,0.4375,3313,3404,-91,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.311,0.5,0.689
